,name
backache,4.0
fatigue,2.0
cramps,2.0
backache,5.0
cramps,4.0
muscle pain,2.0
fatigue,
high blood pressure,
high blood pressure,4.0
backache,3.0
fatigue,2.0
muscle pain,
cramps,
cramps,3.0
backache,3.0
high blood pressure,3.0
fatigue,2.0
muscle pain,
high blood pressure,
muscle pain,5.0
high blood pressure,3.0
fatigue,
cramps,
backache,
backache,3.0
cramps,2.0
fatigue,
muscle pain,
high blood pressure,
high blood pressure,2.0
muscle pain,
cramps,
backache,
high blood pressure,4.0
cramps,2.0
muscle pain,
muscle pain,5.0
high blood pressure,5.0
cramps,4.0
fatigue,3.0
backache,
cramps,3.0
fatigue,2.0
muscle pain,2.0
backache,2.0
high blood pressure,
fatigue,3.0
muscle pain,2.0
cramps,2.0
high blood pressure,2.0
backache,
fatigue,4.0
muscle pain,4.0
cramps,3.0
high blood pressure,3.0
backache,2.0
muscle pain,
fatigue,
muscle pain,
fatigue,5.0
backache,2.0
cramps,
high blood pressure,
muscle pain,3.0
fatigue,
cramps,
backache,3.0
fatigue,2.0
cramps,2.0
muscle pain,
high blood pressure,
cramps,3.0
high blood pressure,2.0
fatigue,
muscle pain,
backache,
cramps,4.0
backache,3.0
fatigue,2.0
muscle pain,2.0
high blood pressure,
muscle pain,6.0
fatigue,2.0
backache,2.0
high blood pressure,2.0
cramps,
backache,3.0
cramps,
high blood pressure,
muscle pain,6.0
cramps,4.0
fatigue,
backache,
high blood pressure,
backache,3.0
high blood pressure,3.0
muscle pain,2.0
high blood pressure,2.0
cramps,2.0
fatigue,4.0
muscle pain,4.0
cramps,3.0
backache,
fatigue,3.0
cramps,
backache,
high blood pressure,
high blood pressure,4.0
cramps,3.0
backache,3.0
fatigue,2.0
muscle pain,2.0
high blood pressure,3.0
fatigue,
muscle pain,
cramps,
backache,2.0
backache,
fatigue,
cramps,2.0
high blood pressure,2.0
fatigue,
muscle pain,
backache,
high blood pressure,3.0
fatigue,2.0
backache,2.0
muscle pain,
cramps,
high blood pressure,5.0
muscle pain,4.0
backache,4.0
cramps,3.0
fatigue,2.0
backache,
cramps,
high blood pressure,
fatigue,4.0
muscle pain,4.0
high blood pressure,3.0
cramps,2.0
fatigue,6.0
muscle pain,5.0
cramps,5.0
backache,4.0
high blood pressure,
fatigue,3.0
backache,2.0
high blood pressure,2.0
muscle pain,
muscle pain,5.0
fatigue,2.0
backache,2.0
cramps,
high blood pressure,
muscle pain,2.0
fatigue,
cramps,
muscle pain,3.0
cramps,2.0
backache,2.0
high blood pressure,2.0
fatigue,5.0
backache,5.0
muscle pain,2.0
cramps,2.0
fatigue,2.0
muscle pain,2.0
backache,2.0
high blood pressure,
fatigue,
high blood pressure,
backache,2.0
high blood pressure,2.0
fatigue,
muscle pain,
cramps,
backache,2.0
muscle pain,2.0
high blood pressure,2.0
muscle pain,5.0
cramps,3.0
high blood pressure,2.0
backache,
high blood pressure,5.0
fatigue,4.0
backache,4.0
muscle pain,
cramps,
high blood pressure,3.0
fatigue,2.0
backache,2.0
muscle pain,
backache,3.0
fatigue,2.0
cramps,2.0
muscle pain,
high blood pressure,3.0
